V***g|RU|width:100%|Color: black 3 together|Ships From: China Logistics: CDEK|Joystick come in good condition, but the packaging was wrinkled. If you do not understand how to connect it to your phone: on YouTube is prompt. Product content)|12 Dec 2018 04:52|||['https://ae01.alicdn.com/kf/UTB8Yr3yFVfFXKJk43Otq6xIPFXax.jpg', 'https://ae01.alicdn.com/kf/UTB8TxOgFRahduJk43Jaq6zM8FXak.jpg', 'https://ae01.alicdn.com/kf/UTB8tSKQmgnJXKJkSaelq6xUzXXa0.jpg', 'https://ae01.alicdn.com/kf/UTB8ZSGRmmbIXKJkSaefq6yasXXaJ.jpg', 'https://ae01.alicdn.com/kf/UTB8ITxjFiaMiuJk43PTq6ySmXXac.jpg']
M***a|BG|width:100%|Color: black 3 together|Ships From: China Logistics: PostNL|Thanks vsichko work mngo brza delivery. Preporchvam|12 Dec 2018 05:00|||['https://ae01.alicdn.com/kf/UTB8OJGZmf2JXKJkSanrq6y3lVXaC.jpg', 'https://ae01.alicdn.com/kf/UTB8d1cyFVfFXKJk43Otq6xIPFXa8.jpg', 'https://ae01.alicdn.com/kf/UTB8ZOQuFWrFXKJk43Ovq6ybnpXaf.jpg', 'https://ae01.alicdn.com/kf/UTB8io5Tmn_IXKJkSalUq6yBzVXaF.jpg']
T***n|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|Fast shipping! Just set up, cause and did not understand, worked on the third hour, when a hundredth Attempt but work, checked the multi games, works, though not understood with a mouse, such as delayed, but not the fact, not to the little things yet! All together, under the door New E-mail! In general, the expected Roblex shallow works nice :) Way ran on The Beelink Unlim GT1.|12 Dec 2018 12:58|||['https://ae01.alicdn.com/kf/UTB8hIy1mmbIXKJkSaefq6yasXXar.jpg', 'https://ae01.alicdn.com/kf/UTB8DkiTmbnJXKJkSahGq6xhzFXaa.jpg', 'https://ae01.alicdn.com/kf/UTB89ISYmdnJXKJkSaiyq6AhwXXaq.jpg']
V***M|RU|width:80%|Color: black 3 together|Ships From: China Logistics: J-NET|Connect one time the phone, then connect refused. The other devices as well. The Seller after Clarifications and involvement of the Administration returned the money.|11 Dec 2018 10:15|||['https://ae01.alicdn.com/kf/UTB8rBr6FWrFXKJk43Ovq6ybnpXaZ.jpg']
I***n|UA|width:100%|Color: black 3 together|Ships From: China Logistics: DHL e-commerce|All consistent with fast delivery. Seller and shop advice|11 Dec 2018 06:22|||['https://ae01.alicdn.com/kf/UTB8Ub0OFMQydeJk43PUq6AyQpXax.jpg']
A***a|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|All good! Only connected to the crooked, not all buttons work just right! With the tablet case better are, everything works fine! Can anyone tell me act correctly it connect to the computer to all the work?!|12 Dec 2018 12:41|||['https://ae01.alicdn.com/kf/UTB8hgC.mXfJXKJkSamHq6zLyVXac.jpg', 'https://ae01.alicdn.com/kf/UTB8P_tqFiaMiuJk43PTq6ySmXXaB.jpg']
K***a|RU|width:100%|Color: black|Ships From: China Logistics: ePacket|All super. Works. And the quality is really good!|12 Dec 2018 00:31|||['https://ae01.alicdn.com/kf/UTB8uAWHmgnJXKJkSaelq6xUzXXas.jpg']
S***v|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|Delivery about three weeks of good quality|12 Dec 2018 21:45|||['https://ae01.alicdn.com/kf/UTB8j.DimevJXKJkSajhq6A7aFXav.jpg']
A***h|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|Gamepad came for 3,5 weeks. The Only drawback seller-very bad. Box can be said played in сквоч. The performance did not check. Think all to-date. Myself, recommend seller and store|07 Dec 2018 05:39|Play box somehow so…. Connected to the phone, like alive again, but as always taxis…. Mixed up central key start and refund. And very personal. For $9,5 recommend|07 Dec 2018 12:26|['https://ae01.alicdn.com/kf/UTB8ckkll3nJXKJkSaelq6xUzXXaD.jpg', 'https://ae01.alicdn.com/kf/UTB8LICbF5DEXKJk43Oqq6Az3XXa5.jpg']
A***a|BY|width:100%|Color: black 3 together|Ships From: China Logistics: 139 ECONOMIC Package|Goods received, it works.|12 Dec 2018 04:19|||['https://ae01.alicdn.com/kf/UTB8HSKQmnzIXKJkSafVq6yWgXXaZ.jpg', 'https://ae01.alicdn.com/kf/UTB8PcXjFiaMiuJk43PTq6ySmXXaf.jpg']
V***v|RU|width:100%|Color: black add Receiver|Ships From: China Logistics: ePacket|Everything is fine, the goods value for money, respect and uvazhuha!|12 Dec 2018 06:41|||[]
D***z|US|width:100%|Color: white 3 together|Ships From: China Logistics: ePacket|Look a long time to receive, but made it in time for Christmas (gift for son).|11 Dec 2018 10:06|||[]
E***u|TR|width:100%|Color: black 3 together|Ships From: China Logistics: PostNL|Fast shipping, good product.|12 Dec 2018 05:16|||['https://ae01.alicdn.com/kf/UTB8b2CSmmbIXKJkSaefq6yasXXaY.jpg']
G***t|RO|width:100%|Color: black add Receiver|Ships From: China Logistics: PostNL|Good seller and reliable. In 25 days I received the parcel.|10 Dec 2018 23:01|||[]
D***v|RU|width:80%|Color: black|Ships From: China Logistics: ePacket|Game Pad good, when connected to a PC take the tambourine. No xInput. So please pay attention to that cross the gamepad is one piece, and as a picture-4 separate buttons.|13 Dec 2018 00:09|||[]
A***a|RU|width:100%|Color: black 3 together|Ships From: China Logistics: J-NET|Cool things. Son can not get enough. It works. courier delivered. Recommend goods seller!|12 Dec 2018 04:21|||[]
A***o|RU|width:100%|Color: black 3 together|Ships From: China Logistics: ePacket|Everything is fine, as in the description. Shipped quickly, just over two weeks.|11 Dec 2018 23:52|||[]
G***a|RU|width:100%|Color: black 3 together|Ships From: China Logistics: CDEK|Thank you very much! It is great!|10 Dec 2018 21:44||10 Dec 2018 21:45|[]
S***u|MD|width:100%|Color: black 3 together|Ships From: China Logistics: PostNL|The Product is fully consistent with the. Quality is excellent for your money. Moldova To posting was about a month. контройлер connected perfectly to the smartphone for Android tablet games work fine. the other devices not tried. shopping happy kids happy recommend.|07 Dec 2018 07:47|||['https://ae01.alicdn.com/kf/UTB8dpN_F5DEXKJk43Oqq6Az3XXai.jpg', 'https://ae01.alicdn.com/kf/UTB8GG7sl1vJXKJkSajhq6A7aFXa8.jpg', 'https://ae01.alicdn.com/kf/UTB8x4efF4HEXKJk43Jeq6yeeXXah.jpg', 'https://ae01.alicdn.com/kf/UTB8BE3llVPJXKJkSahVq6xyzFXaE.jpg']
A***a|RU|width:80%|Color: white|Ships From: China Logistics: ePacket|Buy directly from the receiver (yusbi adapter) otherwise неподключите to PC and work on the phone without complaints only through time connected|12 Dec 2018 09:38|||[]
V***k|UA|width:80%|Color: black add Holder|Ships From: China Logistics: DHL e-commerce|Goods yshov without пори dnіv mіsyats приніс курєр NP. Box mint. Not підтримує PUBG.|11 Dec 2018 13:02|||[]
A***v|RU|width:100%|Color: black add Receiver|Ships From: China Logistics: ePacket|It's fast, but packed little joystick itself was not injured, works fine.|30 Nov 2018 03:58|||['https://ae01.alicdn.com/kf/UTB8qTL9lJnJXKJkSaiyq6AhwXXar.jpg', 'https://ae01.alicdn.com/kf/UTB875v.lMnJXKJkSaelq6xUzXXaE.jpg', 'https://ae01.alicdn.com/kf/UTB8x1jXEOaMiuJk43PTq6ySmXXan.jpg', 'https://ae01.alicdn.com/kf/UTB8Rbf6lHnJXKJkSahGq6xhzFXaA.jpg', 'https://ae01.alicdn.com/kf/UTB8DqZflL2JXKJkSanrq6y3lVXah.jpg']
S***r|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|Works fine on бдютуз with whistle (connected to the android TV)|11 Dec 2018 09:49|||[]
H***o|CL|width:100%|Color: black 3 together|Ships From: China Logistics: AliExpress Standard Shipping|The product is exactly as D is cribe, recommended, works 100%, very satisfied, came with all their part is (Cable, Mini USB).|02 Nov 2018 15:51|Works as D is cribe, works fine, the buttons are soft, is very Ergonomic. such which is D is cribe by the seller,|02 Nov 2018 15:56|['https://ae01.alicdn.com/kf/UTB8mvpcEtoSdeJk43Owq6ya4XXai.jpg', 'https://ae01.alicdn.com/kf/UTB8hneIkFfJXKJkSamHq6zLyVXaE.jpg', 'https://ae01.alicdn.com/kf/UTB8C4jcEGrFXKJk43Ovq6ybnpXah.jpg', 'https://ae01.alicdn.com/kf/UTB8LTWwkMnJXKJkSaelq6xUzXXap.jpg', 'https://ae01.alicdn.com/kf/UTB8VTeIkFfJXKJkSamHq6zLyVXa9.jpg', 'https://ae01.alicdn.com/kf/UTB8GqyDkHPJXKJkSafSq6yqUXXar.jpg', 'https://ae01.alicdn.com/kf/UTB8fqY5DOaMiuJk43PTq6ySmXXaw.jpg', 'https://ae01.alicdn.com/kf/UTB8PZKykSbIXKJkSaefq6yasXXay.jpg', 'https://ae01.alicdn.com/kf/UTB8KGY5DOaMiuJk43PTq6ySmXXad.jpg', 'https://ae01.alicdn.com/kf/UTB8dLm5ESnEXKJk43Ubq6zLppXaT.jpg']
A***n|UA|width:100%|Color: black add Receiver|Ships From: China Logistics: DHL e-commerce|Thank You, received a month later. Can Not connect to the TV box X96. Works well with the phone.|08 Dec 2018 07:44|||['https://ae01.alicdn.com/kf/UTB89cMMl__IXKJkSalUq6yBzVXaf.jpg', 'https://ae01.alicdn.com/kf/UTB8dk3Jl_zIXKJkSafVq6yWgXXaP.jpg', 'https://ae01.alicdn.com/kf/UTB82._mE5aMiuJk43PTq6ySmXXaG.jpg', 'https://ae01.alicdn.com/kf/UTB8zFAxFtoSdeJk43Owq6ya4XXak.jpg']
S***h|BY|width:100%|Color: white 3 together|Ships From: China Logistics: 139 ECONOMIC Package|Cool game pad for money. Good works. Responsive and quality. Advise. Tanks on the phone are on it without dopnastroek. The Android without problems. The laptop play Skyrim.|10 Dec 2018 09:50|||['https://ae01.alicdn.com/kf/UTB8ZwREmdnJXKJkSaiyq6AhwXXam.jpg', 'https://ae01.alicdn.com/kf/UTB8InVGmmbIXKJkSaefq6yasXXaA.jpg', 'https://ae01.alicdn.com/kf/UTB8AsloFJoSdeJk43Owq6ya4XXaO.jpg', 'https://ae01.alicdn.com/kf/UTB8EIloFJoSdeJk43Owq6ya4XXab.jpg']
A***l|BG|width:100%|Color: black add Receiver|Ships From: China Logistics: PostNL|Good product, work fine. Thanks for good package and fast shipping.|12 Dec 2018 23:53|||[]
