M***o|SK|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail|Very good quality, usb c plug, both watch and iphone x work perfectly. Came to me within 12 days! Must recommend!|05 Dec 2018 05:08|||['https://ae01.alicdn.com/kf/UTB8L4ETFSnEXKJk43Ubq6zLppXaE.jpg', 'https://ae01.alicdn.com/kf/UTB894m5FtoSdeJk43Owq6ya4XXaX.jpg', 'https://ae01.alicdn.com/kf/UTB8CJaQFwQydeJk43PUq6AyQpXaJ.jpg']
Y***n|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|In appearance and feel like not bad. Performance is not tested. Buy a gift under the tree. It 'S very fast 6 days|05 Dec 2018 09:35|||['https://ae01.alicdn.com/kf/UTB8vRGUFwQydeJk43PUq6AyQpXa1.jpg']
D***s|AU|width:100%|Plug Type: White Pad|Logistics: ePacket|Works great. Fast shipping. Thanks.|09 Dec 2018 18:37|||['https://ae01.alicdn.com/kf/UTB8r8y5F4HEXKJk43Jeq6yeeXXaV.jpg', 'https://ae01.alicdn.com/kf/UTB8SclgmXPJXKJkSahVq6xyzFXaK.jpg']
AliExpress Shopper|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|To MSK shipping 2 weeks are packed super duper and product class charges very amazing Thank you will order again|27 Nov 2018 09:48|||['https://ae01.alicdn.com/kf/UTB8_wSxlHPJXKJkSafSq6yqUXXal.jpg']
M***m|KR|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail|good price, good delievery, good product|12 Dec 2018 05:59|||[]
B***b|RU|width:100%|Plug Type: White Pad|Logistics: AliExpress Standard Shipping|Send fast! Packed not bad but could be put and part of charging for the outlet (took original from Samsung). Yesterday once put watch and phone still works) Watch five hours with zero to one hundred, phone about three (IPhone 8 +) so recommend!)|12 Nov 2018 20:58|||['https://ae01.alicdn.com/kf/UTB8Wfazlf2JXKJkSanrq6y3lVXag.jpg']
S***t|DE|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||12 Dec 2018 13:40|||[]
S***k|SG|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping|Good receiver 14 days, Thanks|17 Oct 2018 00:08|||['https://ae01.alicdn.com/kf/UTB84q40EarFXKJk43Ovq6ybnpXaB.jpg', 'https://ae01.alicdn.com/kf/UTB8C3fLDMQydeJk43PUq6AyQpXai.jpg', 'https://ae01.alicdn.com/kf/UTB8TM_MDRahduJk43Jaq6zM8FXal.jpg', 'https://ae01.alicdn.com/kf/UTB8ZZ_Kj__IXKJkSalUq6yBzVXaM.jpg', 'https://ae01.alicdn.com/kf/UTB8yIPHj9bIXKJkSaefq6yasXXat.jpg']
V***v|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|Looks cute, like charges|01 Nov 2018 23:18|Эпловские watch 4 does not charge. Charging qc3.0 2 pieces tried. Or rather charges them fits-constantly screen lights up. The other such positions also on incompatibility last hours this charge writing. Пичалько|06 Dec 2018 10:59|['https://ae01.alicdn.com/kf/UTB8IoFJFVfFXKJk43Otq6xIPFXaW.jpg']
O***a|UA|width:100%|Plug Type: White|Logistics: ePacket|So far good, will test and see|18 Oct 2018 13:17|||['https://ae01.alicdn.com/kf/UTB8KAIMj3nJXKJkSaelq6xUzXXaP.jpg', 'https://ae01.alicdn.com/kf/UTB8lqwPj_zIXKJkSafVq6yWgXXac.jpg']
D***t|NL|width:100%|Plug Type: White Pad|Logistics: AliExpress Standard Shipping|Works well|28 Sep 2018 08:48|IN THE INFO STAY SAMSUNG WATCH TO BUT DO NOT WORK..... DONT BUY|04 Oct 2018 20:00|['https://ae01.alicdn.com/kf/UTB8jq2UDlahduJk43Jaq6zM8FXaF.jpg', 'https://ae01.alicdn.com/kf/UTB8J8rkjpfJXKJkSamHq6zLyVXaf.jpg', 'https://ae01.alicdn.com/kf/UTB8Eji8jrnJXKJkSahGq6xhzFXaf.jpg', 'https://ae01.alicdn.com/kf/UTB8Cid7DODEXKJk43Oqq6Az3XXaB.jpg']
M***o|RU|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping|All good, works with iphone 8+ and apple watch series 3|22 Nov 2018 02:51|||[]
AliExpress Shopper|JP|width:100%|Plug Type: White|Logistics: ePacket|Delivery was very fast, packaging was also polite. I am satisfied very well that the product works properly. Thank you very much.|20 Nov 2018 00:54|||[]
G***n|NL|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|Exactly as described, works great with iPhone X Do not forget to order a correct plug separate, comes only with a usb cable. only 7 days to holland, with is extreem quick.|23 Oct 2018 04:23|||[]
