A***v|RU|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Working hours and XR how fast charging time will show as long as everything is ok.|10 Dec 2018 21:18|||['https://ae01.alicdn.com/kf/UTB8axx7mbPJXKJkSafSq6yqUXXa9.jpg', 'https://ae01.alicdn.com/kf/UTB848ZxE5aMiuJk43PTq6ySmXXau.jpg', 'https://ae01.alicdn.com/kf/UTB87RNtFMQydeJk43PUq6AyQpXa6.jpg']
B***i|OM|width:100%|Plug Type: WHITE|Logistics: Singapore Post|Thank you very much and the item arrives at its best|11 Dec 2018 03:01|||['https://ae01.alicdn.com/kf/UTB8uBT2FVfFXKJk43Otq6xIPFXaX.jpg', 'https://ae01.alicdn.com/kf/UTB8OuhKFRahduJk43Jaq6zM8FXa5.jpg']
AliExpress Shopper|UA|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Excellent quality, weak packed|12 Dec 2018 13:33|||['https://ae01.alicdn.com/kf/UTB8yAi0mgnJXKJkSaelq6xUzXXaq.jpg', 'https://ae01.alicdn.com/kf/UTB8uRa3mn_IXKJkSalUq6yBzVXaU.jpg']
P***v|RU|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Fast delivery! All works fine!|12 Dec 2018 02:27|||['https://ae01.alicdn.com/kf/UTB8WzsqF5DEXKJk43Oqq6Az3XXa4.jpg', 'https://ae01.alicdn.com/kf/UTB8tXgrFWrFXKJk43Ovq6ybnpXa3.jpg']
M***n|RU|width:80%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|item don't include power adapter, only station and cord. I don't know the reason, but it don't charge my Galaxy $8, when my led phone case closed|12 Dec 2018 00:18|good seller, fast shipment|12 Dec 2018 00:19|[]
M***o|RU|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Quality Baseus as always at an altitude of work on the photo in addition buy charger with fast charging this same brand…|04 Dec 2018 11:50|The phone is no problem, how to charge and the clock problem during charging Apple Watch Series 4 watch very hot and charge stops… more than 25% charge could not even once. The Seller immediately took the dispute on the refund. Seller no complaints. He bought a lot of time. Seller recommend. Charging for 4 series not suitable, sadly. AND the idea is very good.|07 Dec 2018 21:23|['https://ae01.alicdn.com/kf/UTB8zpQFFGrFXKJk43Ovq6ybnpXah.jpg', 'https://ae01.alicdn.com/kf/UTB89y1Gl3nJXKJkSaelq6xUzXXaE.jpg', 'https://ae01.alicdn.com/kf/UTB88gAGl1vJXKJkSajhq6A7aFXaE.jpg', 'https://ae01.alicdn.com/kf/UTB81UR.F9nEXKJk43Ubq6zLppXa8.jpg']
E***i|US|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Very happy with seller. Fast shipping good packaging. Item works right out of box. Both my watch 4 and iphone 8 plus are charging|11 Dec 2018 13:21|||[]
D***r|RU|width:100%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Come quickly, but does not work properly, both Watch and phone is not charging, but separately, first thought problem in unit charger in 1A changed it to 2.1a problem was, A dispute uploaded videos and seller returned 100% sorry as a good idea|12 Dec 2018 23:05|||[]
A***v|RU|width:80%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Charging that one thing or iPhone or Watch. Also watch very heated. Better to charge the different charging.|11 Dec 2018 14:00|||[]
P***.|RU|width:80%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|Got pretty quickly. Looks good. Charges extremely slow, especially if together watch and phone. Connected faithful QC3 adapter, consumes more than 0.7 AND. Charge IPhone X about 6-7 hours. For night out OK, but as the main battery to fit, quickly charged will not come out.|12 Dec 2018 21:53|||[]
J***z|ES|width:80%|Plug Type: WHITE|Logistics: AliExpress Standard Shipping|This well. Pero no loaded at 100%. I get only to 75%|13 Dec 2018 01:01|||[]
