A***o| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 06 Jul 2019 10:23|width:100%;|Посылка пришла на удивление быстро. Всё целое, всё работает. Хлипковатое конечно, но телефон держит крепко.|
S***i| https://www.aliexpress.com/item/-/32926097679.html|32926097679| 06 Jul 2019 09:23|width:20%;|Le ressort ne marchais pas. Mauvaise qualité. Je n’ai pas pu l’utiliser|
A***y| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 06 Jul 2019 08:42|width:100%;|Пластик чуть-чуть покоцан, но не критично.|
A***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 06 Jul 2019 08:19|width:100%;||
D***T| https://www.aliexpress.com/item/-/32850485509.html|32850485509| 06 Jul 2019 08:01|width:20%;|not woking|
M***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 06:11|width:100%;|Product works as advertised, unfortunately it came out of the packaging with a very chemical smell. I had to leave it outside for a couple of days just to get rid of the smell...|
a***v| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 06 Jul 2019 05:44|width:100%;||
E***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 05:31|width:100%;||
M***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 05:16|width:100%;|très bon produit|
R***e | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 05:00|width:100%;||
R***e | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 05:00|width:100%;||
M***m| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 04:42|width:100%;||
J***l| https://www.aliexpress.com/item/-/33015491410.html|33015491410| 06 Jul 2019 04:38|width:80%;|Very Quick shipment. Unfortunately NO EU Poweradapter. US adapter is useless over here.|
D***m| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 04:23|width:100%;|Precies zoals omschreven, netjes verpakt en super snel geleverd. Stevig materiaal en telefoon zit er goed en strak in. Klasse. Ik beveel deze verkoper aan.|
J***c| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 04:15|width:100%;||
F***m| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 04:12|width:100%;|Very good, thank you !|
K***e| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 06 Jul 2019 03:46|width:100%;||
I***r| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 03:27|width:100%;||
J***k| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 06 Jul 2019 03:17|width:20%;|The holder is shit. Tablet does not hold ... Cheap plastic DO NOT BUY|
O***r| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 02:59|width:100%;|спасибо продавцу, отправил быстро. заказала 19.06, а на почте уже была посылка 03.07. по качеству время покажет, но постоянно, при разжиме держателя, вылазиет штырек, на котором пружина держится. пластик твёрдый и с небольшими потертостями. в ходе эксплуатации дополню отзыв!|
M***m| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 06 Jul 2019 01:44|width:100%;||
B***a| https://www.aliexpress.com/item/-/32970388345.html|32970388345| 06 Jul 2019 01:32|width:100%;||
L***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 05 Jul 2019 23:52|width:20%;|war defekt bei Auslieferung|
A***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 20:31|width:100%;|Что ожидал то и получил, товар соответствует своему описанию.|
D***i| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 17:31|width:100%;||
P***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 14:31|width:100%;||
D***n | https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 14:01|width:80%;||
M***y| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 13:20|width:100%;||
p***s| https://www.aliexpress.com/item/-/32856617913.html|32856617913| 05 Jul 2019 12:05|width:100%;||
A***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 11:48|width:100%;||
S***o| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 05 Jul 2019 11:22|width:100%;||
S***n| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 11:17|width:100%;||
J***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 05 Jul 2019 10:44|width:80%;||
S***v| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 05 Jul 2019 10:16|width:100%;||
A***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 10:13|width:100%;||
V***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 10:08|width:100%;||
N***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 05 Jul 2019 09:57|width:100%;||
F***z| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 05 Jul 2019 09:45|width:80%;|It is really really fragile and it breaks easily so I do not recommend this item. too bad it is all cheap plastic because it could have been very nice.|
c***t| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 05 Jul 2019 09:43|width:80%;||
V***M | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 08:16|width:100%;|12 дней . быстро,аккуратно.всё целое.рекомендую.|
N***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 07:51|width:100%;||
G***l| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 07:17|width:100%;|prima kwaliteit snel geleverd toppy.|
l***n| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 05 Jul 2019 07:03|width:100%;||
H***n | https://www.aliexpress.com/item/-/32950850475.html|32950850475| 05 Jul 2019 06:34|width:100%;||
N***i| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 06:25|width:100%;||
M***w| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 05 Jul 2019 04:27|width:100%;|Good product|
R***m| https://www.aliexpress.com/item/-/32909704204.html|32909704204| 05 Jul 2019 04:06|width:100%;||
P***r| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 03:39|width:100%;|O.K.|
P***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 02:57|width:20%;|Не рекомендую покупать. Совсем не держится на панели. Приходится дорабатывать самому. Приклеенная резинка дубовая как пластик. Продавец тянет время не идет на уступки.|
R***o| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 02:56|width:20%;|Não sustenta o iPad além de ter enviado o produto diferente!|
R***o| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 02:56|width:20%;|Não sustenta o iPad além de ter enviado o produto diferente!|
R***o| https://www.aliexpress.com/item/-/32895573402.html|32895573402| 05 Jul 2019 02:56|width:80%;||
d***d| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 02:52|width:80%;||
f***r| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 02:46|width:100%;||
H***s| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 05 Jul 2019 01:57|width:80%;||
J***L| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 05 Jul 2019 01:38|width:100%;||
v***v| https://www.aliexpress.com/item/-/32909704204.html|32909704204| 05 Jul 2019 01:06|width:100%;||
L***e| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 00:27|width:100%;||
d***i| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 05 Jul 2019 00:23|width:80%;|Ok|
N***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 05 Jul 2019 00:05|width:100%;||
V***r| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 04 Jul 2019 23:55|width:100%;||
V***o| https://www.aliexpress.com/item/-/32911738915.html|32911738915| 04 Jul 2019 23:47|width:60%;|Как уже писал в первом отзыве, качество не лучшее, есть недоливы по форме, направляющие болтаются в пазах сильно, пружина уже звучит как уставшая и держит уверенно только большие формы. Сильное не соответствие планшета Самсунг и держателя.|
G***e| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 04 Jul 2019 22:45|width:40%;|Average aund quality but ok for price. Will be buying higher quality one again|
y***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 22:03|width:100%;||
M***u| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 21:05|width:100%;||
J***a | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 04 Jul 2019 20:16|width:100%;|Good!|
B***m| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 04 Jul 2019 19:26|width:60%;|nice|
B***c| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 04 Jul 2019 15:27|width:100%;||
N***i| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 04 Jul 2019 13:45|width:100%;||
